country,country_code,year,gdp_current_usd
Albania,ALB,2022,19017244116.7203
Albania,ALB,2021,18032009220.4405
Albania,ALB,2020,15241455556.3737
Albania,ALB,2019,15585111614.0376
Albania,ALB,2018,15379508329.7568
Albania,ALB,2017,13258268435.6048
Albania,ALB,2016,11988668784.6628
Albania,ALB,2015,11470171826.9575
Albania,ALB,2014,13296322588.1684
Albania,ALB,2013,12796985886.1478
Albania,ALB,2012,12246499747.9714
Albania,ALB,2011,12973755874.5365
Albania,ALB,2010,12086545641.299
Andorra,AND,2022,3380612573.32922
Andorra,AND,2021,3324647529.381
Andorra,AND,2020,2891001149.3611
Andorra,AND,2019,3155149347.80639
Andorra,AND,2018,3218419896.9641
Andorra,AND,2017,3000162081.11976
Andorra,AND,2016,2896610479.73077
Andorra,AND,2015,2789881258.50362
Andorra,AND,2014,3271685596.66321
Andorra,AND,2013,3193512950.02419
Andorra,AND,2012,3188652765.36184
Andorra,AND,2011,3629133574.27783
Andorra,AND,2010,3449925738.86069
Austria,AUT,2022,471773629830.381
Austria,AUT,2021,480467037338.783
Austria,AUT,2020,434397601557.696
Austria,AUT,2019,442983642371.842
Austria,AUT,2018,452582294972.775
Austria,AUT,2017,414926138132.691
Austria,AUT,2016,393687359770.273
Austria,AUT,2015,379546097300.633
Austria,AUT,2014,438556021078.034
Austria,AUT,2013,426580502769.417
Austria,AUT,2012,406750487603.59
Austria,AUT,2011,428954737064.057
Austria,AUT,2010,389827789217.634
Belarus,BLR,2022,73775179924.603
Belarus,BLR,2021,69673747131.87
Belarus,BLR,2020,61371673344.7424
Belarus,BLR,2019,64410170653.4569
Belarus,BLR,2018,60031026576.26
Belarus,BLR,2017,54725405751.1559
Belarus,BLR,2016,47723545321.259
Belarus,BLR,2015,56454769844.7632
Belarus,BLR,2014,78813069120.9984
Belarus,BLR,2013,75527558966.4473
Belarus,BLR,2012,65685890438.8922
Belarus,BLR,2011,61762382327.9319
Belarus,BLR,2010,57231904542.8755
Belgium,BEL,2022,593614574325.878
Belgium,BEL,2021,598522422241.851
Belgium,BEL,2020,529694473501.791
Belgium,BEL,2019,536726344405.489
Belgium,BEL,2018,542638913427.921
Belgium,BEL,2017,500908767351.53
Belgium,BEL,2016,474271566739.729
Belgium,BEL,2015,461044767544.531
Belgium,BEL,2014,537987419164.351
Belgium,BEL,2013,524097026598.55
Belgium,BEL,2012,498414364944.961
Belgium,BEL,2011,527196649048.639
Belgium,BEL,2010,481556503720.001
Bosnia and Herzegovina,BIH,2022,24534663636.1778
Bosnia and Herzegovina,BIH,2021,23672712242.2149
Bosnia and Herzegovina,BIH,2020,20226036564.4129
Bosnia and Herzegovina,BIH,2019,20482608755.379
Bosnia and Herzegovina,BIH,2018,20484053868.9246
Bosnia and Herzegovina,BIH,2017,18326373366.1105
Bosnia and Herzegovina,BIH,2016,17116926327.6247
Bosnia and Herzegovina,BIH,2015,16404348871.4437
Bosnia and Herzegovina,BIH,2014,18558733564.4692
Bosnia and Herzegovina,BIH,2013,18179108530.5261
Bosnia and Herzegovina,BIH,2012,17226735995.6905
Bosnia and Herzegovina,BIH,2011,18644233537.1093
Bosnia and Herzegovina,BIH,2010,17176315803.7298
Bulgaria,BGR,2022,90509236929.2237
Bulgaria,BGR,2021,84414122840.1687
Bulgaria,BGR,2020,70550652466.6251
Bulgaria,BGR,2019,68634004792.1
Bulgaria,BGR,2018,66251582035.9412
Bulgaria,BGR,2017,59167647387.606
Bulgaria,BGR,2016,53929397039.2106
Bulgaria,BGR,2015,50765918159.1476
Bulgaria,BGR,2014,57080897012.1077
Bulgaria,BGR,2013,55819262374.9039
Bulgaria,BGR,2012,54297052002.2338
Bulgaria,BGR,2011,57681293006.9721
Bulgaria,BGR,2010,50689051382.4361
Croatia,HRV,2022,71198635101.9514
Croatia,HRV,2021,69006802298.6956
Croatia,HRV,2020,57963370885.0798
Croatia,HRV,2019,61467582193.6824
Croatia,HRV,2018,61668130122.5878
Croatia,HRV,2017,56186190437.9959
Croatia,HRV,2016,52654855638.1057
Croatia,HRV,2015,51005200669.6941
Croatia,HRV,2014,59612144078.4133
Croatia,HRV,2013,59852401272.3204
Croatia,HRV,2012,57551963753.2104
Croatia,HRV,2011,62903737379.7834
Croatia,HRV,2010,58981738868.753
Cyprus,CYP,2022,30935566076.6788
Cyprus,CYP,2021,30372642502.4897
Cyprus,CYP,2020,25555093854.2968
Cyprus,CYP,2019,26196667099.5303
Cyprus,CYP,2018,25754001367.5448
Cyprus,CYP,2017,22946570628.7576
Cyprus,CYP,2016,21046462280.5979
Cyprus,CYP,2015,19909278416.8575
Cyprus,CYP,2014,23225918259.9824
Cyprus,CYP,2013,23959712860.8331
Cyprus,CYP,2012,25047436974.6819
Cyprus,CYP,2011,27641547909.7011
Cyprus,CYP,2010,25799940077.6075
Czechia,CZE,2022,301831228325.556
Czechia,CZE,2021,290972714482.313
Czechia,CZE,2020,251109660602.536
Czechia,CZE,2019,256794209028.77
Czechia,CZE,2018,251992360762.236
Czechia,CZE,2017,221563575696.217
Czechia,CZE,2016,198160659303.939
Czechia,CZE,2015,189107698561.919
Czechia,CZE,2014,210911285077.683
Czechia,CZE,2013,213024360541.119
Czechia,CZE,2012,210363223087.728
Czechia,CZE,2011,231429378717.312
Czechia,CZE,2010,211168667286.27
Denmark,DNK,2022,401945576107.963
Denmark,DNK,2021,408378204639.999
Denmark,DNK,2020,355631021931.621
Denmark,DNK,2019,345401473012.615
Denmark,DNK,2018,355293374912.393
Denmark,DNK,2017,331610593961.988
Denmark,DNK,2016,312181849372.233
Denmark,DNK,2015,301758922337.637
Denmark,DNK,2014,352832602064.452
Denmark,DNK,2013,344631016965.12
Denmark,DNK,2012,326792574244.963
Denmark,DNK,2011,344315595263.175
Denmark,DNK,2010,322345594075.47
Estonia,EST,2022,38376046174.971
Estonia,EST,2021,37204563051.4723
Estonia,EST,2020,31820771493.8974
Estonia,EST,2019,31873748770.0313
Estonia,EST,2018,31222632740.7247
Estonia,EST,2017,27469461919.1189
Estonia,EST,2016,24561027787.7896
Estonia,EST,2015,23311847750.9394
Estonia,EST,2014,27055689003.0038
Estonia,EST,2013,25451032780.7573
Estonia,EST,2012,23237406116.3988
